mRNA,length,name
Zm00001eb001200_T001,4117,B73
Zm00001eb001210_T001,1116,B73
Zm00001eb001220_T001,5106,B73
Zm00001eb001230_T001,953,B73
Zm00001eb001240_T002,4208,B73
Zm00001eb001250_T001,686,B73
Zm00001eb001260_T001,4643,B73
Zm00001eb001270_T003,3594,B73
Zm00001eb001280_T001,727,B73
Zm00001eb001290_T001,10163,B73
Zm00001eb001300_T001,1366,B73
Zm00001eb001310_T001,2079,B73
Zm00001eb001320_T001,570,B73
Zm00001eb001330_T001,543,B73
Zm00001eb001340_T003,4798,B73
Zm00001eb001350_T001,2636,B73
Zm00001eb001360_T004,2106,B73
Zm00001eb001370_T001,4579,B73
Zm00001eb001400_T001,7599,B73
Zm00001eb001410_T001,390,B73
Zm00001eb001420_T001,3374,B73
Zm00001eb001430_T001,75351,B73
Zm00001eb001440_T001,2483,B73
Zm00001eb001460_T003,4764,B73
Zm00001eb001470_T001,2183,B73
Zm00001eb001480_T001,1377,B73
Zm00001eb001490_T001,8348,B73
Zm00001eb001500_T008,3203,B73
Zm00001eb001510_T002,4675,B73
Zm00001eb001520_T001,7320,B73
Zm00001eb001530_T001,1676,B73
Zm00001eb001550_T001,2744,B73
Zm00001eb001560_T001,3405,B73
Zm00001eb001570_T001,11723,B73
Zm00001eb001580_T001,750,B73
Zm00001eb001590_T001,5513,B73
Zm00001eb001600_T001,3628,B73
Zm00001eb001610_T001,3395,B73
Zm00001eb001620_T001,477,B73
Zm00001eb001630_T001,4013,B73
Zm00001eb001640_T001,2538,B73
Zm00001eb001650_T005,2253,B73
Zm00001eb001660_T001,1568,B73
Zm00001eb001670_T006,15782,B73
Zm00001eb001680_T001,2989,B73
Zm00001eb001690_T001,2517,B73
Zm00001eb001700_T001,1799,B73
Zm00001eb001710_T001,5522,B73
Zm00001eb001720_T001,4603,B73
Zm00001eb001740_T001,1964,B73
Zm00001eb001760_T001,2914,B73
Zm00001eb001770_T002,5828,B73
Zm00001eb001780_T002,3459,B73
Zm00001eb001790_T001,306,B73
Zm00001eb001800_T001,940,B73
Zm00001eb001810_T001,2144,B73
Zm00001eb001820_T001,1341,B73
Zm00001eb001830_T001,3726,B73
Zm00001eb001840_T001,2304,B73
Zm00001eb001860_T002,7547,B73
Zm00001eb001870_T001,6508,B73
Zm00001eb001880_T001,4029,B73
Zm00001eb001890_T001,4066,B73
Zm00001eb001900_T002,4786,B73
Zm00001eb001910_T001,14519,B73
Zm00001eb001920_T001,1151,B73
Zm00001eb001940_T002,4651,B73
Zm00001eb001950_T001,1437,B73
Zm00001eb001960_T001,1069,B73
Zm00001eb001970_T001,891,B73
Zm00001eb001980_T001,2394,B73
Zm00001eb001990_T001,7023,B73
Zm00001eb002000_T001,22741,B73
Zm00001eb002010_T001,4411,B73
Zm00001eb002020_T002,6103,B73
Zm00001eb002030_T001,5168,B73
Zm00001eb002040_T001,12736,B73
Zm00001eb002050_T001,1237,B73
Zm00001eb002060_T001,3888,B73
Zm00001eb002070_T001,2486,B73
Zm00001eb002080_T001,911,B73
Zm00001eb002090_T001,3528,B73
Zm00001eb002100_T001,93352,B73
Zm00001eb002140_T001,444,B73
Zm00001eb002150_T001,3773,B73
Zm00001eb002170_T001,4607,B73
Zm00001eb002180_T002,4810,B73
Zm00001eb002190_T001,2986,B73
Zm00001eb002200_T001,4032,B73
Zm00001eb002210_T001,914,B73
Zm00001eb002220_T002,4764,B73
Zm00001eb002240_T003,2786,B73
Zm00001eb002250_T002,3911,B73
Zm00001eb002260_T001,9652,B73
Zm00001eb002270_T001,2793,B73
Zm00001eb002280_T001,523,B73
Zm00001eb002290_T001,3070,B73
Zm00001eb002300_T001,4316,B73
Zm00001eb002310_T001,5186,B73
Zm00001eb002320_T001,3496,B73
Zm00001eb002330_T001,2197,B73
Zm00001eb002340_T001,1925,B73
Zm00001eb002350_T001,1143,B73
Zm00001eb002360_T001,2911,B73
Zm00001eb002370_T001,2812,B73
Zm00001eb002380_T001,2087,B73
Zm00001eb002390_T001,364,B73
Zm00001eb002410_T001,1857,B73
Zm00001eb002420_T001,3280,B73
Zm00001eb002430_T005,10774,B73
Zm00001eb002440_T001,4915,B73
Zm00001eb002450_T001,3608,B73
Zm00001eb002460_T001,5827,B73
Zm00001eb002470_T001,4160,B73
Zm00001eb002480_T001,2408,B73
Zm00001eb002490_T003,5355,B73
Zm00001eb002510_T003,2293,B73
Zm00001eb002520_T001,4317,B73
Zm00001eb002530_T003,5610,B73
Zm00001eb002540_T001,20517,B73
Zm00001eb002550_T002,4266,B73
Zm00001eb002560_T001,2885,B73
Zm00001eb002570_T001,6356,B73
Zm00001eb002590_T001,2018,B73
Zm00001eb002600_T002,1442,B73
Zm00001eb002610_T003,4655,B73
Zm00001eb002620_T003,1263,B73
Zm00001eb002640_T001,2466,B73
Zm00001eb002650_T001,1342,B73
Zm00001eb002660_T002,1955,B73
Zm00001eb002680_T001,5521,B73
Zm00001eb002690_T001,2482,B73
Zm00001eb002700_T001,2534,B73
Zm00001eb002710_T001,1731,B73
Zm00001eb002730_T001,1724,B73
Zm00001eb002720_T001,4522,B73
Zm00001eb002740_T001,14555,B73
Zm00001eb002750_T001,564,B73
Zm00001eb002760_T001,2567,B73
Zm00001eb002770_T001,1027,B73
Zm00001eb002780_T001,1742,B73
Zm00001eb002790_T001,1781,B73
Zm00001eb002800_T001,1196,B73
Zm00001eb002810_T001,1563,B73
Zm00001eb002820_T002,3662,B73
Zm00001eb002830_T001,2174,B73
Zm00001eb002840_T001,2763,B73
Zm00001eb002850_T001,1810,B73
Zm00001eb002860_T001,2156,B73
Zm00001eb002870_T001,834,B73
Zm00001eb002880_T001,4785,B73
Zm00001eb002890_T001,656,B73
Zm00001eb002900_T001,1316,B73
Zm00001eb002910_T001,2724,B73
Zm00001eb002920_T001,907,B73
Zm00001eb002930_T001,3118,B73
Zm00001eb002940_T002,2657,B73
Zm00001eb002950_T001,1153,B73
Zm00001eb002960_T003,11879,B73
Zm00001eb002970_T001,3012,B73
Zm00001eb002980_T001,768,B73
Zm00001eb002990_T001,2307,B73
Zm00001eb003000_T001,4600,B73
Zm00001eb003010_T001,4532,B73
Zm00001eb003020_T002,5822,B73
Zm00001eb003030_T001,3584,B73
Zm00001eb003040_T003,3329,B73
Zm00001eb003050_T001,693,B73
Zm00001eb003060_T001,17831,B73
Zm00001eb003070_T001,9388,B73
Zm00001eb003080_T001,2974,B73
Zm00001eb003090_T005,2622,B73
Zm00001eb003100_T001,562,B73
Zm00001eb003110_T001,3549,B73
Zm00001eb003120_T001,2191,B73
Zm00001eb003130_T001,4307,B73
Zm00001eb003140_T001,1858,B73
Zm00001eb003150_T001,4783,B73
Zm00001eb003160_T001,3849,B73
Zm00001eb003170_T001,3110,B73
Zm00001eb003180_T001,3177,B73
Zm00001eb003190_T003,5197,B73
Zm00001eb003200_T001,1045,B73
Zm00001eb003210_T001,3038,B73
Zm00001eb003230_T004,5610,B73
Zm00001eb003220_T001,2014,B73
Zm00001eb003240_T001,2228,B73
Zm00001eb003270_T001,1961,B73
Zm00001eb003280_T001,979,B73
Zm00001eb003290_T001,402,B73
Zm00001eb003300_T001,7167,B73
Zm00001eb003310_T002,2581,B73
Zm00001eb003330_T001,2532,B73
Zm00001eb003340_T001,2141,B73
Zm00001eb003350_T002,4430,B73
Zm00001eb003360_T001,1858,B73
Zm00001eb003370_T001,773,B73
Zm00001eb003380_T001,20115,B73
Zm00001eb003390_T001,729,B73
Zm00001eb003400_T002,3410,B73
Zm00001eb003420_T001,2701,B73
Zm00001eb003440_T003,3175,B73
Zm00001eb003450_T001,3204,B73
Zm00001eb003460_T002,4559,B73
Zm00001eb003470_T001,1454,B73
Zm00001eb003480_T001,3270,B73
Zm00001eb003490_T001,7292,B73
Zm00001eb003510_T002,6533,B73
Zm00001eb003520_T001,2687,B73
Zm00001eb003530_T001,7182,B73
Zm00001eb003540_T004,4603,B73
Zm00001eb003550_T001,82379,B73
Zm00001eb003560_T001,957,B73
Zm00001eb003570_T002,718,B73
Zm00001eb003580_T002,6980,B73
Zm00001eb003590_T001,849,B73
Zm00001eb003600_T001,2220,B73
Zm00001eb003610_T002,2253,B73
Zm00001eb003620_T001,2090,B73
Zm00001eb003630_T001,2135,B73
Zm00001eb003650_T001,2498,B73
Zm00001eb003660_T001,3560,B73
Zm00001eb003670_T002,10452,B73
Zm00001eb003680_T002,2528,B73
Zm00001eb003690_T001,3077,B73
Zm00001eb003700_T002,3971,B73
Zm00001eb003710_T001,518,B73
Zm00001eb003720_T001,827,B73
Zm00001eb003730_T001,2136,B73
Zm00001eb003740_T001,2865,B73
Zm00001eb003750_T001,1131,B73
Zm00001eb003760_T001,4260,B73
Zm00001eb003770_T001,2668,B73
Zm00001eb003780_T004,9354,B73
Zm00001eb003790_T001,3391,B73
Zm00001eb003800_T001,858,B73
Zm00001eb003810_T001,80268,B73
Zm00001eb003820_T001,617,B73
Zm00001eb003830_T006,3809,B73
Zm00001eb003840_T004,5717,B73
Zm00001eb003850_T001,3146,B73
Zm00001eb003860_T002,2215,B73
Zm00001eb003870_T001,1689,B73
Zm00001eb003880_T001,2667,B73
Zm00001eb003890_T001,5024,B73
Zm00001eb003900_T001,3138,B73
Zm00001eb003910_T001,1345,B73
Zm00001eb003920_T001,1329,B73
Zm00001eb003930_T001,4585,B73
Zm00001eb003940_T001,831,B73
Zm00001eb003950_T001,320,B73
Zm00001eb003960_T001,2504,B73
Zm00001eb003970_T001,4365,B73
Zm00001eb004000_T001,1701,B73
Zm00001eb004020_T001,841,B73
Zm00001eb004030_T001,6846,B73
Zm00001eb004040_T001,573,B73
Zm00001eb004050_T001,4286,B73
Zm00001eb004060_T001,315,B73
Zm00001eb004070_T001,554,B73
Zm00001eb004080_T001,5113,B73
Zm00001eb004090_T001,6744,B73
Zm00001eb004100_T001,1991,B73
Zm00001eb004110_T001,1981,B73
Zm00001eb004120_T001,6782,B73
Zm00001eb004130_T001,312,B73
Zm00001eb004140_T002,906,B73
Zm00001eb004150_T001,473,B73
Zm00001eb004160_T003,6303,B73
Zm00001eb004170_T003,4665,B73
Zm00001eb004180_T002,2834,B73
Zm00001eb004190_T001,7302,B73
Zm00001eb004200_T001,1937,B73
Zm00001eb004210_T001,5262,B73
Zm00001eb004220_T001,8337,B73
Zm00001eb004230_T001,14754,B73
Zm00001eb004240_T001,6428,B73
Zm00001eb004250_T003,32302,B73
Zm00001eb004260_T001,1342,B73
Zm00001eb004280_T001,458,B73
Zm00001eb004290_T001,35064,B73
Zm00001eb004300_T001,561,B73
Zm00001eb004310_T001,5910,B73
Zm00001eb004320_T001,5006,B73
Zm00001eb004330_T001,904,B73
Zm00001eb004340_T002,6802,B73
Zm00001eb004350_T001,589,B73
Zm00001eb004360_T001,1590,B73
Zm00001eb004370_T004,7909,B73
Zm00001eb004380_T001,2207,B73
Zm00001eb004390_T002,1838,B73
Zm00001eb004400_T002,5421,B73
Zm00001eb004410_T003,2131,B73
Zm00001eb004420_T005,4744,B73
Zm00001eb004430_T001,10528,B73
Zm00001eb004440_T004,4378,B73
Zm00001eb004450_T001,1400,B73
Zm00001eb004460_T001,1107,B73
Zm00001eb004470_T001,1487,B73
Zm00001eb004480_T001,1956,B73
Zm00001eb004490_T001,1507,B73
Zm00001eb004500_T001,7942,B73
Zm00001eb004510_T002,20923,B73
Zm00001eb004530_T001,294,B73
Zm00001eb004540_T001,4634,B73
Zm00001eb004550_T002,5742,B73
Zm00001eb004560_T001,3961,B73
Zm00001eb004570_T001,3437,B73
Zm00001eb004590_T001,7649,B73
Zm00001eb004600_T001,1779,B73
Zm00001eb004610_T001,443,B73
Zm00001eb004630_T001,6181,B73
Zm00001eb004640_T001,593,B73
Zm00001eb004650_T001,495,B73
Zm00001eb004660_T003,4085,B73
Zm00001eb004670_T001,3141,B73
Zm00001eb004690_T001,898,B73
Zm00001eb004710_T002,3065,B73
Zm00001eb004720_T001,1013,B73
Zm00001eb004730_T001,897,B73
Zm00001eb004740_T001,1943,B73
Zm00001eb004750_T001,1933,B73
Zm00001eb004760_T001,410,B73
Zm00001eb004770_T001,3535,B73
Zm00001eb004780_T002,14210,B73
Zm00001eb004790_T002,6380,B73
Zm00001eb004800_T001,356,B73
Zm00001eb004810_T001,1600,B73
Zm00001eb004820_T001,453,B73
Zm00001eb004830_T001,222,B73
Zm00001eb004840_T001,8424,B73
Zm00001eb004850_T001,327,B73
Zm00001eb004860_T001,15459,B73
Zm00001eb004880_T001,222,B73
Zm00001eb004890_T001,1263,B73
Zm00001eb004900_T001,1856,B73
Zm00001eb004920_T001,1922,B73
Zm00001eb004940_T002,15094,B73
Zm00001eb004950_T001,7653,B73
Zm00001eb004960_T001,6223,B73
Zm00001eb004970_T001,228,B73
Zm00001eb004980_T001,243,B73
Zm00001eb004990_T003,3242,B73
Zm00001eb005000_T004,5043,B73
Zm00001eb005010_T001,12180,B73
Zm00001eb005020_T001,4127,B73
Zm00001eb005030_T001,6567,B73
Zm00001eb005040_T001,794,B73
Zm00001eb005060_T002,2491,B73
Zm00001eb005070_T001,18071,B73
Zm00001eb005080_T002,2747,B73
Zm00001eb005100_T002,2098,B73
Zm00001eb005110_T001,2578,B73
Zm00001eb005120_T001,4030,B73
Zm00001eb005130_T001,1337,B73
Zm00001eb005140_T001,1352,B73
Zm00001eb005150_T001,803,B73
Zm00001eb005160_T001,342,B73
Zm00001eb005170_T001,4020,B73
Zm00001eb005180_T001,1255,B73
Zm00001eb005190_T001,3828,B73
Zm00001eb005200_T001,573,B73
Zm00001eb005210_T001,19646,B73
Zm00001eb005220_T001,5384,B73
Zm00001eb005230_T002,3930,B73
Zm00001eb005240_T001,1094,B73
Zm00001eb005250_T001,1436,B73
Zm00001eb005260_T001,706,B73
Zm00001eb005270_T001,7724,B73
Zm00001eb005280_T001,4971,B73
Zm00001eb005290_T001,1338,B73
Zm00001eb005300_T001,2521,B73
Zm00001eb005310_T001,2137,B73
Zm00001eb005320_T002,2819,B73
Zm00001eb005330_T001,15134,B73
Zm00001eb005340_T003,8868,B73
Zm00001eb005350_T001,1824,B73
Zm00001eb005360_T001,1858,B73
Zm00001eb005370_T002,4951,B73
Zm00001eb005380_T001,2846,B73
Zm00001eb005390_T001,4661,B73
Zm00001eb005400_T002,5038,B73
Zm00001eb005410_T001,309,B73
Zm00001eb005420_T004,5452,B73
Zm00001eb005430_T002,3001,B73
Zm00001eb005440_T001,2815,B73
Zm00001eb005450_T001,1356,B73
Zm00001eb005460_T001,5365,B73
Zm00001eb005470_T001,5833,B73
Zm00001eb005480_T001,704,B73
Zm00001eb005490_T001,1031,B73
Zm00001eb005500_T001,767,B73
Zm00001eb005510_T001,7571,B73
Zm00001eb005530_T001,3071,B73
Zm00001eb005540_T001,495,B73
Zm00001eb005550_T001,3175,B73
Zm00001eb005560_T001,4136,B73
Zm00001eb005570_T001,2352,B73
Zm00001eb005580_T001,706,B73
Zm00001eb005590_T001,529,B73
Zm00001eb005600_T001,5295,B73
Zm00001eb005610_T001,342,B73
Zm00001eb005630_T001,8762,B73
Zm00001eb005640_T002,3010,B73
Zm00001eb005650_T001,1272,B73
Zm00001eb005660_T001,3114,B73
Zm00001eb005670_T001,6219,B73
Zm00001eb005680_T001,273,B73
Zm00001eb005690_T004,3223,B73
Zm00001eb005700_T001,1887,B73
Zm00001eb005710_T005,4548,B73
Zm00001eb005740_T001,4628,B73
Zm00001eb005760_T001,1848,B73
Zm00001eb005770_T001,10729,B73
Zm00001eb005780_T001,681,B73
Zm00001eb005800_T002,3782,B73
Zm00001eb005810_T001,1365,B73
Zm00001eb005820_T001,15837,B73
Zm00001eb005830_T001,1632,B73
Zm00001eb005840_T001,7875,B73
Zm00001eb005850_T001,2700,B73
Zm00001eb005860_T001,3749,B73
Zm00001eb005870_T001,2010,B73
Zm00001eb005890_T001,868,B73
Zm00001eb005900_T001,5572,B73
Zm00001eb005920_T001,6868,B73
Zm00001eb005930_T001,1208,B73
Zm00001eb005940_T001,909,B73
Zm00001eb005950_T003,8025,B73
Zm00001eb005960_T001,3147,B73
Zm00001eb005970_T001,2780,B73
Zm00001eb005980_T001,1198,B73
Zm00001eb005990_T001,2024,B73
Zm00001eb006000_T001,932,B73
Zm00001eb006010_T001,4035,B73
Zm00001eb006020_T001,3826,B73
Zm00001eb006030_T001,1997,B73
Zm00001eb006040_T002,11316,B73
Zm00001eb006050_T001,3343,B73
Zm00001eb006060_T001,798,B73
Zm00001eb006070_T001,1647,B73
Zm00001eb006080_T003,19487,B73
Zm00001eb006090_T001,865,B73
Zm00001eb006100_T001,1003,B73
Zm00001eb006110_T001,865,B73
Zm00001eb006120_T001,3259,B73
Zm00001eb006130_T001,1839,B73
Zm00001eb006140_T001,11264,B73
Zm00001eb006150_T001,3461,B73
Zm00001eb006160_T003,1618,B73
Zm00001eb006170_T001,1719,B73
Zm00001eb006180_T001,1538,B73
Zm00001eb006190_T001,3559,B73
Zm00001eb006200_T001,1120,B73
Zm00001eb006210_T001,1429,B73
Zm00001eb006240_T001,7458,B73
Zm00001eb006260_T001,1101,B73
Zm00001eb006270_T003,15755,B73
Zm00001eb006280_T001,630,B73
Zm00001eb006290_T002,1186,B73
Zm00001eb006300_T001,6543,B73
Zm00001eb006310_T002,1990,B73
Zm00001eb006320_T002,7887,B73
Zm00001eb006330_T001,2194,B73
Zm00001eb006340_T001,566,B73
Zm00001eb006350_T001,4146,B73
Zm00001eb006360_T001,1986,B73
Zm00001eb006370_T001,421,B73
Zm00001eb006380_T003,2596,B73
Zm00001eb006390_T002,7963,B73
Zm00001eb006400_T001,1140,B73
Zm00001eb006410_T001,1803,B73
Zm00001eb006420_T001,1891,B73
Zm00001eb006430_T001,1833,B73
Zm00001eb006440_T001,1956,B73
Zm00001eb006450_T001,4775,B73
Zm00001eb006460_T001,856,B73
Zm00001eb006470_T001,5867,B73
Zm00001eb006480_T002,21080,B73
Zm00001eb006490_T001,408,B73
Zm00001eb006510_T001,6078,B73
Zm00001eb006520_T001,2900,B73
Zm00001eb006530_T001,1751,B73
Zm00001eb006540_T001,7968,B73
Zm00001eb006550_T001,3561,B73
Zm00001eb006560_T001,20854,B73
Zm00001eb006570_T001,11582,B73
Zm00001eb006590_T001,2128,B73
Zm00001eb006600_T001,3436,B73
Zm00001eb006610_T001,2855,B73
Zm00001eb006620_T001,2723,B73
Zm00001eb006630_T001,4300,B73
Zm00001eb006640_T001,1023,B73
Zm00001eb006650_T001,4691,B73
Zm00001eb006660_T001,7032,B73
Zm00001eb006670_T001,1694,B73
Zm00001eb006680_T002,2011,B73
Zm00001eb006690_T001,800,B73
Zm00001eb006700_T001,2180,B73
Zm00001eb006710_T001,1960,B73
Zm00001eb006720_T001,1594,B73
Zm00001eb006730_T001,5390,B73
Zm00001eb006740_T001,1779,B73
Zm00001eb006760_T002,10227,B73
Zm00001eb006770_T001,2941,B73
Zm00001eb006780_T001,2007,B73
Zm00001eb006790_T001,555,B73
Zm00001eb006800_T001,2180,B73
Zm00001eb006830_T001,3226,B73
Zm00001eb006840_T001,8730,B73
Zm00001eb006850_T001,2391,B73
Zm00001eb006860_T003,3405,B73
Zm00001eb006870_T001,4279,B73
Zm00001eb006880_T001,4189,B73
Zm00001eb006890_T003,25334,B73
Zm00001eb006900_T001,1406,B73
Zm00001eb006910_T001,10736,B73
Zm00001eb006920_T002,5228,B73
Zm00001eb006930_T001,1282,B73
Zm00001eb006940_T002,3361,B73
Zm00001eb006950_T002,6375,B73
Zm00001eb006960_T001,661,B73
Zm00001eb006970_T001,1125,B73
Zm00001eb006990_T001,725,B73
Zm00001eb007000_T001,1427,B73
Zm00001eb007010_T002,4138,B73
Zm00001eb007020_T001,2717,B73
Zm00001eb007030_T002,6080,B73
Zm00001eb007040_T001,869,B73
Zm00001eb007050_T002,10290,B73
Zm00001eb007060_T009,1781,B73
Zm00001eb007070_T001,2584,B73
Zm00001eb007080_T001,5106,B73
Zm00001eb007090_T003,8603,B73
Zm00001eb007100_T003,1758,B73
Zm00001eb007110_T001,561,B73
Zm00001eb007120_T001,852,B73
Zm00001eb007130_T003,13437,B73
Zm00001eb007140_T002,5056,B73
Zm00001eb007150_T001,3114,B73
Zm00001eb007160_T001,12857,B73
Zm00001eb007170_T001,963,B73
Zm00001eb007180_T001,25151,B73
Zm00001eb007190_T001,2631,B73
Zm00001eb007200_T001,2343,B73
Zm00001eb007220_T001,5791,B73
Zm00001eb007230_T001,2456,B73
Zm00001eb007240_T002,4828,B73
Zm00001eb007250_T003,3418,B73
Zm00001eb007270_T001,2008,B73
Zm00001eb007280_T002,2945,B73
Zm00001eb007290_T001,4739,B73
Zm00001eb007300_T001,4867,B73
Zm00001eb007310_T001,18623,B73
Zm00001eb007320_T001,645,B73
Zm00001eb007330_T001,4013,B73
Zm00001eb007340_T001,369,B73
Zm00001eb007350_T001,1518,B73
Zm00001eb007360_T001,243,B73
Zm00001eb007370_T001,354,B73
Zm00001eb007380_T001,459,B73
Zm00001eb007390_T001,1257,B73
Zm00001eb007400_T001,837,B73
Zm00001eb007410_T001,1019,B73
Zm00001eb007420_T001,909,B73
Zm00001eb007430_T001,759,B73
Zm00001eb007440_T001,2963,B73
Zm00001eb007460_T001,2110,B73
Zm00001eb007450_T001,1189,B73
Zm00001eb007470_T002,8159,B73
Zm00001eb007490_T001,2122,B73
Zm00001eb007500_T001,2218,B73
Zm00001eb007510_T001,16616,B73
Zm00001eb007540_T001,7570,B73
Zm00001eb007550_T001,16816,B73
Zm00001eb007560_T001,380,B73
Zm00001eb007570_T003,11003,B73
Zm00001eb007580_T001,3919,B73
Zm00001eb007590_T001,4258,B73
Zm00001eb007600_T002,6986,B73
Zm00001eb007610_T003,4455,B73
Zm00001eb007630_T001,1325,B73
Zm00001eb007640_T002,2359,B73
Zm00001eb007650_T001,5852,B73
Zm00001eb007670_T002,2494,B73
Zm00001eb007680_T001,12114,B73
Zm00001eb007690_T001,2640,B73
Zm00001eb007700_T004,12379,B73
Zm00001eb007720_T002,6215,B73
Zm00001eb007730_T001,4131,B73
Zm00001eb007740_T001,4472,B73
Zm00001eb007750_T002,3383,B73
Zm00001eb007760_T002,3952,B73
Zm00001eb007770_T001,5730,B73
Zm00001eb007780_T001,3629,B73
Zm00001eb007790_T001,3151,B73
Zm00001eb007800_T001,4252,B73
Zm00001eb007810_T001,2826,B73
Zm00001eb007820_T001,7563,B73
Zm00001eb007830_T001,4813,B73
Zm00001eb007840_T001,675,B73
Zm00001eb007850_T001,597,B73
Zm00001eb007860_T001,3447,B73
Zm00001eb007870_T002,1443,B73
Zm00001eb007880_T001,1571,B73
Zm00001eb007890_T001,321,B73
Zm00001eb007900_T001,1868,B73
Zm00001eb007910_T001,1003,B73
Zm00001eb007920_T002,5289,B73
Zm00001eb007930_T002,3533,B73
Zm00001eb007940_T001,2594,B73
Zm00001eb007950_T001,1569,B73
Zm00001eb007960_T001,6386,B73
Zm00001eb007970_T001,384,B73
Zm00001eb007990_T001,1808,B73
Zm00001eb008000_T001,955,B73
Zm00001eb008010_T001,3281,B73
Zm00001eb008030_T001,432,B73
Zm00001eb008040_T002,2841,B73
Zm00001eb008050_T001,1537,B73
Zm00001eb008060_T002,10771,B73
Zm00001eb008070_T001,2707,B73
Zm00001eb008080_T001,2188,B73
Zm00001eb008090_T007,3878,B73
Zm00001eb008100_T001,4238,B73
Zm00001eb008130_T001,1010,B73
Zm00001eb008140_T001,3925,B73
Zm00001eb008150_T001,825,B73
Zm00001eb008160_T002,7152,B73
Zm00001eb008170_T002,4776,B73
Zm00001eb008180_T001,4676,B73
Zm00001eb008190_T001,624,B73
Zm00001eb008200_T001,2310,B73
Zm00001eb008210_T001,441,B73
Zm00001eb008220_T001,2699,B73
